company,website,industry
Stripe,https://stripe.com,Fintech
Shopify,https://shopify.com,Ecommerce
Atlassian,https://atlassian.com,Software
GitLab,https://gitlab.com,DevOps
HashiCorp,https://hashicorp.com,DevOps
DigitalOcean,https://digitalocean.com,Cloud
Vercel,https://vercel.com,Cloud
Netlify,https://netlify.com,Cloud
Elastic,https://elastic.co,Search
MongoDB,https://mongodb.com,Database
Snowflake,https://snowflake.com,Data
Datadog,https://datadog.com,Monitoring
Cloudflare,https://cloudflare.com,Security
Monday,https://monday.com,Productivity
Notion,https://notion.so,Productivity
Deploylynx,https://deploylynx.com,Devsecops
